Office,Aberdeen
Station Name,Garthdee
Location Code,368014
Parameter,River Stage(SG)
Timeseries,SG.15m.Cmd
Copyright SEPA 2018. This SEPA Data is licensed under the Open Government Licence 3.0., http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3
Date/Time,SG(m)
22/11/2020 19:30:00,1.047
22/11/2020 19:45:00,1.047
22/11/2020 20:00:00,1.05
22/11/2020 20:15:00,1.044
22/11/2020 20:30:00,1.046
22/11/2020 20:45:00,1.048
22/11/2020 21:00:00,1.047
22/11/2020 21:15:00,1.046
22/11/2020 21:30:00,1.042
22/11/2020 21:45:00,1.044
22/11/2020 22:00:00,1.04
22/11/2020 22:15:00,1.041
22/11/2020 22:30:00,1.04
22/11/2020 22:45:00,1.035
22/11/2020 23:00:00,1.039
22/11/2020 23:15:00,1.032
22/11/2020 23:30:00,1.031
22/11/2020 23:45:00,1.03
23/11/2020 00:00:00,1.03
23/11/2020 00:15:00,1.031
23/11/2020 00:30:00,1.031
23/11/2020 00:45:00,1.028
23/11/2020 01:00:00,1.025
23/11/2020 01:15:00,1.02
23/11/2020 01:30:00,1.023
23/11/2020 01:45:00,1.021
23/11/2020 02:00:00,1.019
23/11/2020 02:15:00,1.02
23/11/2020 02:30:00,1.017
23/11/2020 02:45:00,1.017
23/11/2020 03:00:00,1.014
23/11/2020 03:15:00,1.009
23/11/2020 03:30:00,1.016
23/11/2020 03:45:00,1.01
23/11/2020 04:00:00,1.011
23/11/2020 04:15:00,1.005
23/11/2020 04:30:00,1.01
23/11/2020 04:45:00,1.005
23/11/2020 05:00:00,1.005
23/11/2020 05:15:00,1.008
23/11/2020 05:30:00,1.005
23/11/2020 05:45:00,0.999
23/11/2020 06:00:00,0.999
23/11/2020 06:15:00,0.999
23/11/2020 06:30:00,0.999
23/11/2020 06:45:00,0.999
23/11/2020 07:00:00,0.995
23/11/2020 07:15:00,1.0
23/11/2020 07:30:00,0.992
23/11/2020 07:45:00,0.997
23/11/2020 08:00:00,0.994
23/11/2020 08:15:00,0.992
23/11/2020 08:30:00,0.991
23/11/2020 08:45:00,0.991
23/11/2020 09:00:00,0.991
23/11/2020 09:15:00,0.989
23/11/2020 09:30:00,0.993
23/11/2020 09:45:00,0.987
23/11/2020 10:00:00,0.99
23/11/2020 10:15:00,0.993
23/11/2020 10:30:00,0.991
23/11/2020 10:45:00,0.99
23/11/2020 11:00:00,0.992
23/11/2020 11:15:00,0.986
23/11/2020 11:30:00,0.987
23/11/2020 11:45:00,0.984
23/11/2020 12:00:00,0.983
23/11/2020 12:15:00,0.982
23/11/2020 12:30:00,0.986
23/11/2020 12:45:00,0.983
23/11/2020 13:00:00,0.982
23/11/2020 13:15:00,0.986
23/11/2020 13:30:00,0.982
23/11/2020 13:45:00,0.982
23/11/2020 14:00:00,0.985
23/11/2020 14:15:00,0.984
23/11/2020 14:30:00,0.981
23/11/2020 14:45:00,0.983
23/11/2020 15:00:00,0.985
23/11/2020 15:15:00,0.98
23/11/2020 15:30:00,0.978
23/11/2020 15:45:00,0.976
23/11/2020 16:00:00,0.974
23/11/2020 16:15:00,0.975
23/11/2020 16:30:00,0.971
23/11/2020 16:45:00,0.969
23/11/2020 17:00:00,0.971
23/11/2020 17:15:00,0.968
23/11/2020 17:30:00,0.968
23/11/2020 17:45:00,0.973
23/11/2020 18:00:00,0.968
23/11/2020 18:15:00,0.967
23/11/2020 18:30:00,0.971
23/11/2020 18:45:00,0.967
23/11/2020 19:00:00,0.965
23/11/2020 19:15:00,0.965
23/11/2020 19:30:00,0.964
23/11/2020 19:45:00,0.968
